"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports unlading","26.18","0","0","1","1","8"
"Percentage of NA for ports unlading","26.18","NaN","NaN","NaN","NaN","NaN"
"Number of unique ports unlading","2618.00","0","0","0","0","0"
"Percentage of NA for ports unlading","2618.00","NaN","NaN","NaN","NaN","NaN"
