"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports lading","26.18","1","0","2","0","1"
"Percentage of NA for ports lading","26.18","0","100","0","NaN","0"
"Share of all shipments","26.18","0.65","90.85","7.84","0","0.65"
"Number of unique ports lading","2618.00","1","0","2","0","1"
"Percentage of NA for ports lading","2618.00","0","100","0","NaN","0"
"Share in export","2618.00","100","100","100","NaN","100"
