"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports unlading","26.19","0","0","1","1","8"
"Percentage of NA for ports unlading","26.19","NaN","100","0","0","0"
"Number of unique ports unlading","2619.00","0","0","1","1","8"
"Percentage of NA for ports unlading","2619.00","NaN","100","0","0","0"
