"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports unlading","73.01","53","0","32","103","210"
"Percentage of NA for ports unlading","73.01","0","0","0","0","0"
"Number of unique ports unlading","7301.1","0","0","0","0","1"
"Percentage of NA for ports unlading","7301.1","0","0","0","0","0"
"Number of unique ports unlading","7301.2","0","0","0","0","7"
"Percentage of NA for ports unlading","7301.2","0","0","0","0",NaN
