"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports lading","26.19","0","0","1","0","6"
"Percentage of NA for ports lading","26.19","NaN","100","0","100","0"
"Share of all shipments","26.19","0","67.74","3.23","3.23","25.81"
"Number of unique ports lading","2619.00","0","0","1","0","6"
"Percentage of NA for ports lading","2619.00","NaN","100","0","100","0"
"Share in export","2619.00","NaN","100","100","100","100"
