"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports lading","73.01","15","0","18","0","23"
"Percentage of NA for ports lading","73.01","0","0","0","0","0"
"Share of all shipments","73.01","7.23","26.87","5.12","22.87","37.91"
"Number of unique ports lading","7301.1","0","0","0","0","1"
"Percentage of NA for ports lading","7301.1","0","0","0","0","0"
"Share in export","7301.1","0","0","0","0","0.05"
"Number of unique ports lading","7301.2","0","0","0","0","4"
"Percentage of NA for ports lading","7301.2","0","0","0","0",NaN
"Share in export","7301.2","0","0","0","0","0.24"
