376042.332424525,504424.450018783,10698.5097995214,0,10698.5097995214,10698.5097995214,98292.5587831032,1080.13800860553,0,1833611.42232279
0,0,0,0,0,0,0,0,0,0
7849.16044411949,35881.8763159748,13081.9340735325,33639.2590462264,13081.9340735325,13081.9340735325,0,0,0,75127.6785365722
14925.3194060426,68230.0315704804,0,63965.6545973253,0,0,0,0,286566.132596018,142856.628600693
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
521418.304896986,574042.524062367,24850.3257169856,0,24850.3257169856,24850.3257169856,6139.49223596114,509577.855584775,0,268383.517743444
4167.13847861677,82561.4311075948,6858.41541272344,0,6858.41541272344,6858.41541272344,27607.2924208361,8073.83080232,0,228932.170169009
0,0,0,0,0,0,0,0,0,618295.686294469
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,351898.238656937
0,0,0,0,0,0,0,0,0,3274515.34211652
388429.965035834,379181.632534981,12331.1100011376,0,12331.1100011376,12331.1100011376,157221.652514504,9248.33250085319,0,36993.3300034127
960988.525311857,20446.5643683374,54524.1716488997,0,54524.1716488997,54524.1716488997,204465.643683374,20446.5643683374,0,1656171.71383533
329643.022544806,329643.022544806,0,0,0,0,329643.022544806,329643.022544806,0,0
0,0,0,0,0,0,0,0,0,0
