"base","Quantity"
20,637796.337233273
21,684511.080204955
22,17133.6062328066
23,30171.5756723415
24,17133.6062328066
25,17133.6062328066
26,201860.782684455
27,179851.488953231
28,90074.4679633737
29,462117.346158636
