"base","Quantity"
20,5077051.83769874
21,7282430.26920876
22,175333.85904612
23,826242.249476758
24,175333.85904612
25,175333.85904612
26,4832552.94663865
27,1196096.85050025
28,752572.292831903
29,4236329.76425708
