"base","Quantity"
20,15831646.1383152
21,25340080.3266228
22,449716.246986618
23,1577073.95646404
24,449716.246986618
25,449716.246986618
26,13629206.0421594
27,6167953.89699682
28,1803231.72760645
29,9747868.46234267
