"base","Quantity"
20,19222648.1160669
21,24554975.882289
22,701806.664649018
23,627634.783905469
24,701806.664649018
25,701806.664649018
26,5952220.53822488
27,7874845.17482187
28,178446.763205124
29,13322202.3803723
