105393.056958906,141374.601230474,2998.46202263063,0,2998.46202263063,2998.46202263063,27548.3698329189,302.729338823284,0,513904.676176727
23953.9231673653,102619.709990191,7003.63334712495,0,7003.63334712495,7003.63334712495,41092.0096440165,8907.86517786397,0,326675.566984939
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
26615.0420317133,121668.763573547,0,114064.4658502,0,0,938785.118936798,0,46455.3460917178,254743.973732113
120929.609597193,104966.026413477,0,196373.941081879,0,0,0,0,0,219772.617803217
0,0,0,0,0,0,0,0,0,0
566.415126907436,11222.0997018536,932.224896368489,0,932.224896368489,932.224896368489,3752.50021576176,1097.42930838316,0,31117.4310344773
0,0,0,0,0,0,0,0,0,0
0,18233.3157623159,0,0,0,0,0,0,0,164099.841860843
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
388985.989802645,379724.418616868,12348.7615810364,0,12348.7615810364,12348.7615810364,157446.710158214,9261.57118577727,0,37046.2847431091
271176.428356059,5769.71124161828,15385.8966443154,0,15385.8966443154,15385.8966443154,57697.1124161828,5769.71124161828,0,467346.610571081
9650.65362242712,9650.65362242712,0,0,0,0,9650.65362242712,9650.65362242712,0,0
0,0,0,0,0,0,0,0,0,0
