2378172.13816013,3190088.10818443,67659.6641686919,0,67659.6641686919,67659.6641686919,621623.164549857,6831.02378626216,0,11596150.8074505
878907.624592212,3765280.73976206,256974.47159815,0,256974.47159815,256974.47159815,1507731.33626592,326843.772895229,0,11986247.2875514
69167.0396011797,316192.181033964,115278.3993353,296430.169719342,115278.3993353,115278.3993353,0,0,0,662027.379039863
72406.0621995705,330999.141483751,0,310311.695141016,0,0,0,0,1390196.39423175,693029.452481603
441484.254484897,2018213.7347881,0,1892075.37636384,0,0,15572353.7036491,0,770590.698737275,4225635.00721259
423369.272651739,367481.466316157,0,687496.576566477,0,0,0,0,0,769414.320099454
3676893.15572565,4047984.13864161,175237.408599204,0,175237.408599204,175237.408599204,43293.9480068622,3593397.68456956,0,1892564.0128714
66973.4117554282,1326910.72040442,110227.073514142,0,110227.073514142,110227.073514142,443698.852879712,129760.985276142,0,3679351.80831384
0,0,0,0,0,0,0,0,0,8578939.64578194
0,70420.7850054064,0,0,0,0,0,0,0,633787.065048658
0,0,0,0,0,0,0,0,0,6020.30540438055
0,0,0,0,0,0,0,0,0,18749697.3459058
2871509.66406683,2803140.38635095,91159.0369545025,0,91159.0369545025,91159.0369545025,1162277.72116991,68369.2777158769,0,273477.110863508
6688866.69769198,142316.312716851,379510.167244935,0,379510.167244935,379510.167244935,1423163.12716851,142316.312716851,0,11527621.3300649
1190730.61531545,1190730.61531545,0,0,0,0,1190730.61531545,1190730.61531545,0,0
22177.9767687923,22177.9767687923,3168.28239554175,0,3168.28239554175,3168.28239554175,25346.259164334,1584.14119777088,0,44355.9535375846
