"From","To","Product","Quantity"
4,2,15,371.11454301
4,2,16,408.543414448
4,2,17,54.104945789
4,2,18,375.389431406
4,2,19,2713.329
4,2,20,713.7469454361
4,2,21,324.5171371353
4,2,22,77.02
4,2,23,184.9367639327
4,2,24,264.04131373
4,2,25,715.33489986
4,2,26,2038.1495593548
4,2,37,416318.66067
4,3,9,0.02
4,3,11,95.820447677
4,3,12,84.6359998102
4,3,15,5957.21
4,3,16,2010.963
4,3,18,0.052
4,3,20,0.72
4,3,23,35.826
4,3,25,18.756
4,3,26,32.70032273
4,5,1,129070115.986992
4,5,2,304809.23220379
4,5,3,115.176
4,5,7,578872.93
4,5,8,84.5596411503
4,5,9,109136.502932551
4,5,10,1132.439502525
4,5,11,36655.3636871571
4,5,12,96993.6531762771
4,5,13,4187.3928541631
4,5,14,5158.160076
4,5,15,100566.142099602
4,5,16,71342.8548959701
4,5,17,5225.152288626
4,5,18,15415.9002456968
4,5,19,52391.2898357075
4,5,20,28219.9547313739
4,5,21,34933.9153830823
4,5,22,11965.433158676
4,5,23,42513.382238956
4,5,24,11581.542824633
4,5,25,28855.0664948371
4,5,26,27811.4929290343
4,5,37,1335868.00015765
5,1,1,57743604.6101744
5,1,2,7044169.18239071
5,1,3,1755361.44689562
5,1,7,7089571.52857092
5,1,8,2748486.50612589
5,1,9,661668.712906821
5,1,10,320703.634671651
5,1,11,484381.437931971
5,1,12,2594537.82938355
5,1,13,96808.701746175
5,1,14,444538.196230967
5,1,15,1880855.42595947
5,1,16,1456096.53653781
5,1,17,179877.512557863
5,1,18,299192.521682961
5,1,19,1307778.91071989
5,1,20,80605.3884426106
5,1,21,321913.473045695
5,1,22,2008059.70871519
5,1,23,4323675.57226746
5,1,24,567518.669283998
5,1,25,935205.497826399
5,1,26,132138.566506308
5,1,37,8550262.48067641
5,2,1,133298428.660162
5,2,2,516423.494616629
5,2,3,536733.170719905
5,2,7,190237.2066658
5,2,8,260590.271673
5,2,9,128051.761625595
5,2,10,47009.6481801584
5,2,11,912577.431317228
5,2,12,600912.833088534
5,2,13,125386.511183
5,2,14,100469.469267408
5,2,15,1380813.94650599
5,2,16,631409.846507708
5,2,17,19921.9014098664
5,2,18,232554.825683422
5,2,19,141151.630138425
5,2,20,47160.147708984
5,2,21,49696.7206647577
5,2,22,346740.541109835
5,2,23,515272.927940882
5,2,24,241951.220494443
5,2,25,175203.914113043
5,2,26,6371.4973736119
5,2,37,6106552.00623487
5,3,1,71581.808724612
5,3,2,37156.8442395981
5,3,3,50.394
5,3,8,16902.6593005569
5,3,9,805.6713072682
5,3,10,352.3806921295
5,3,11,18164.1632940139
5,3,12,142832.547170104
5,3,13,4117.3174475653
5,3,14,7501.158087648
5,3,15,99046.6299870678
5,3,16,49364.6783563079
5,3,17,302.1072642083
5,3,18,17875.6996633918
5,3,19,29480.428427374
5,3,20,74779.0289183741
5,3,21,7306.4130240827
5,3,22,71978.59949893
5,3,23,81010.8031811356
5,3,24,86832.1553604761
5,3,25,20036.4436429172
5,3,26,2648.5864182844
5,3,37,43360.4842686604
5,4,1,4232932.409866
5,4,2,43288.5845086474
5,4,3,100878.85964266
5,4,7,5208.838
5,4,8,42685.9833255
5,4,9,21409.725022115
5,4,10,3818.6649186983
5,4,11,52779.7744199953
5,4,12,329313.81428898
5,4,13,3155.1687238365
5,4,14,117118.811556993
5,4,15,104140.888245372
5,4,16,124251.17580285
5,4,17,5660.2985880014
5,4,18,80355.4684748723
5,4,19,162723.587863606
5,4,20,46947.5358957093
5,4,21,31277.7790622006
5,4,22,118541.054
5,4,23,432626.241516237
5,4,24,37258.3219934056
5,4,25,52855.2611428933
5,4,26,10624.6108935366
5,4,37,6387.76879611889
